A9 20-FRAME SANITY SUMMARY
==========================
checkpoint: pretrained/epoch_160.pth
nclasses: 3 (Pedestrian, Cyclist, Car)
score_thr: 0.005
nms_pre: 1000
max_num: 200
frames_tested: 20

frame | boxes | top_score | class_histogram
----- | ----- | --------- | ---------------
000000 | 76 | 0.0239 | Ped:5, Cyc:5, Car:66
000001 | 75 | 0.0115 | Ped:5, Cyc:3, Car:67
000002 | 71 | 0.0157 | Ped:4, Cyc:4, Car:63
000003 | 82 | 0.0186 | Ped:6, Cyc:8, Car:68
000004 | 80 | 0.0169 | Ped:5, Cyc:5, Car:70
000005 | 77 | 0.0145 | Ped:6, Cyc:3, Car:68
000006 | 80 | 0.0266 | Ped:6, Cyc:6, Car:68
000007 | 76 | 0.0172 | Ped:6, Cyc:4, Car:66
000008 | 71 | 0.0151 | Ped:4, Cyc:2, Car:65
000009 | 77 | 0.0256 | Ped:5, Cyc:4, Car:68
000010 | 80 | 0.0198 | Ped:5, Cyc:6, Car:69
000011 | 75 | 0.0115 | Ped:5, Cyc:3, Car:67
000012 | 76 | 0.0123 | Ped:6, Cyc:4, Car:66
000013 | 78 | 0.0254 | Ped:5, Cyc:6, Car:67
000014 | 79 | 0.0115 | Ped:6, Cyc:3, Car:70
000015 | 74 | 0.0120 | Ped:5, Cyc:3, Car:66
000016 | 72 | 0.0115 | Ped:5, Cyc:2, Car:65
000017 | 73 | 0.0115 | Ped:5, Cyc:3, Car:65
000018 | 76 | 0.0145 | Ped:5, Cyc:4, Car:67
000019 | 74 | 0.0115 | Ped:4, Cyc:3, Car:67

non_empty_frames: 20/20
aggregate_histogram: Ped:103, Cyc:81, Car:1338
